x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.46283000,-0.20737000,0.24566000,1.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,49.04621981,40.17468281,15.59488972,40.17468281,44.05173209,26.58608980,15.59488972,26.58608980,108.70034217
0.46283535,-0.20735692,0.24566015,1.00000000,0.00000366,0.00000105,0.00000109,300.04118247,0.01089502,0.04565696,0.01089502,300.31796093,-0.00811314,0.04565696,-0.00811314,300.15577078,48.89072272,39.90335626,15.20760342,39.90335626,43.58902338,26.13077355,15.20760342,26.13077355,107.86366644
0.46285137,-0.20731834,0.24566048,1.00000000,0.00001447,0.00000414,0.00000430,300.08986634,0.02401557,0.08751626,0.02401557,300.63595406,-0.01739612,0.08751626,-0.01739612,300.31903211,48.73176310,39.62724799,14.81365663,39.62724799,43.11984883,25.66980613,14.81365663,25.66980613,107.01707236
0.46287805,-0.20725520,0.24566084,1.00000000,0.00003207,0.00000921,0.00000958,300.14610667,0.03934807,0.12559588,0.03934807,300.95389124,-0.02776688,0.12559588,-0.02776688,300.48966753,48.56931535,39.34640989,14.41313498,39.34640989,42.64439525,25.20340766,14.41313498,25.20340766,106.16099198
0.46291540,-0.20716842,0.24566108,1.00000000,0.00005614,0.00001616,0.00001682,300.20995216,0.05687514,0.15991988,0.05687514,301.27167941,-0.03913659,0.15991988,-0.03913659,300.66754450,48.40335633,39.06090264,14.00613705,39.06090264,42.16286571,24.73181398,14.00613705,24.73181398,105.29588664
0.46296344,-0.20705885,0.24566105,1.00000000,0.00008635,0.00002492,0.00002597,300.28144484,0.07657553,0.19051871,0.07657553,301.58922044,-0.05140946,0.19051871,-0.05140946,300.85251402,48.23386553,38.77079600,13.59277483,38.77079600,41.67547975,24.25527665,13.59277483,24.25527665,104.42224682
0.46302222,-0.20692730,0.24566060,0.99999999,0.00012238,0.00003543,0.00003695,300.36061975,0.09842390,0.21742936,0.09842390,301.90641113,-0.06448257,0.21742936,-0.06448257,301.04441022,48.06082513,38.47616906,13.17317398,38.47616906,41.18247346,23.77406283,13.17317398,23.77406283,103.54059186
0.46309182,-0.20677453,0.24565960,0.99999998,0.00016394,0.00004760,0.00004969,300.44750463,0.12239075,0.24069558,0.12239075,302.22314313,-0.07824576,0.24069558,-0.07824576,301.24305001,47.88422015,38.17711043,12.74747426,38.17711043,40.68409951,23.28845512,12.74747426,23.28845512,102.65146949
0.46317230,-0.20660126,0.24565791,0.99999997,0.00021073,0.00006138,0.00006411,300.54211959,0.14844227,0.26036807,0.14844227,302.53930294,-0.09258142,0.26036807,-0.09258142,301.44823282,47.70403849,37.87371852,12.31582976,37.87371852,40.18062723,22.79875126,12.31582976,22.79875126,101.75545531
0.46326377,-0.20640817,0.24565541,0.99999996,0.00026247,0.00007669,0.00008016,300.64447690,0.17654025,0.27650464,0.17654025,302.85477183,-0.10736446,0.27650464,-0.10736446,301.65974028,47.52027107,37.56610170,11.87840918,37.56610170,39.67234244,22.30526390,11.87840918,22.30526390,100.85315200
0.46336633,-0.20619589,0.24565195,0.99999994,0.00031889,0.00009348,0.00009777,300.75458059,0.20664196,0.28917038,0.20664196,303.16942591,-0.12246215,0.28917038,-0.12246215,301.87733606,47.33291189,37.25437844,11.43539611,37.25437844,39.15954741,21.80832008,11.43539611,21.80832008,99.94518846
0.46348011,-0.20596499,0.24564742,0.99999991,0.00037973,0.00011170,0.00011687,300.87242632,0.23870005,0.29843777,0.23870005,303.48313609,-0.13773406,0.29843777,-0.13773406,302.10076575,47.14195808,36.93867754,10.98698917,36.93867754,38.64256060,21.30826084,10.98698917,21.30826084,99.03221875
0.46360524,-0.20571603,0.24564171,0.99999988,0.00044473,0.00013127,0.00013740,300.99800101,0.27266251,0.30438682,0.27266251,303.79576817,-0.15303205,0.30438682,-0.15303205,302.32975673,46.94740999,36.61913815,10.53340220,36.61913815,38.12171638,20.80544057,10.53340220,20.80544057,98.11492087
0.46374183,-0.20544953,0.24563470,0.99999984,0.00051365,0.00015216,0.00015931,301.13128273,0.30847253,0.30710515,0.30847253,304.10718285,-0.16820019,0.30710515,-0.16820019,302.56401821,46.74927125,36.29590992,10.07486437,36.29590992,37.59736477,20.30022639,10.07486437,20.30022639,97.19399539
0.46389003,-0.20516594,0.24562628,0.99999980,0.00058626,0.00017431,0.00018253,301.27224039,0.34606850,0.30668806,0.34606850,304.41723583,-0.18307481,0.30668806,-0.18307481,302.80324126,46.54754880,35.96915306,9.61162024,35.96915306,37.06987090,19.79299741,9.61162024,19.79299741,96.27016388
