x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.46283000,-0.20737000,0.24566000,1.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,7.98458371,-10.57614403,-7.57830451,-10.57614403,23.15644342,17.42690499,-7.57830451,17.42690499,20.77204276
0.46282623,-0.20737688,0.24565978,1.00000000,0.00000006,-0.00000009,0.00000065,300.29829140,0.02417775,-0.04797017,0.02417775,300.10206763,0.16134564,-0.04797017,0.16134564,298.91713672,7.88354859,-10.39468568,-7.39330938,-10.39468568,22.92526460,17.15641191,-7.39330938,17.15641191,20.40976646
0.46281510,-0.20739651,0.24565911,1.00000000,0.00000023,-0.00000035,0.00000260,300.59768870,0.04650710,-0.09359428,0.04650710,300.20070148,0.32055204,-0.09359428,0.32055204,297.85097940,7.78153851,-10.21191235,-7.20733981,-10.21191235,22.69433304,16.88598922,-7.20733981,16.88598922,20.04770322
0.46279685,-0.20742741,0.24565797,1.00000000,0.00000051,-0.00000079,0.00000582,300.89815719,0.06695575,-0.13686377,0.06695575,300.29576085,0.47754744,-0.13686377,0.47754744,296.80166805,7.67857592,-10.02788430,-7.02047405,-10.02788430,22.46381140,16.61581531,-7.02047405,16.61581531,19.68609242
0.46277174,-0.20746816,0.24565632,1.00000000,0.00000089,-0.00000142,0.00001029,301.19966019,0.08549127,-0.17777139,0.08549127,300.38710125,0.63225853,-0.17777139,0.63225853,295.76933706,7.57468463,-9.84266457,-6.83279351,-9.84266457,22.23386728,16.34607406,-6.83279351,16.34607406,19.32518022
0.46274001,-0.20751735,0.24565415,1.00000000,0.00000137,-0.00000226,0.00001598,301.50215904,0.10208113,-0.21631123,0.10208113,300.47457447,0.78461052,-0.21631123,0.78461052,294.75411496,7.46988986,-9.65631904,-6.64438280,-9.65631904,22.00467321,16.07695465,-6.64438280,16.07695465,18.96521950
0.46270194,-0.20757364,0.24565143,1.00000000,0.00000195,-0.00000329,0.00002288,301.80561307,0.11669273,-0.25247873,0.11669273,300.55802848,0.93452710,-0.25247873,0.93452710,293.75612419,7.36421818,-9.46891641,-6.45532965,-9.46891641,21.77640649,15.80865148,-6.45532965,15.80865148,18.60646959
0.46265776,-0.20763572,0.24564813,1.00000000,0.00000261,-0.00000454,0.00003095,302.10997957,0.12929343,-0.28627077,0.12929343,300.63730753,1.08193050,-0.28627077,1.08193050,292.77548085,7.25769759,-9.28052816,-6.26572496,-9.28052816,21.54924913,15.54136408,-6.26572496,15.54136408,18.24919607
0.46260774,-0.20770232,0.24564422,1.00000000,0.00000335,-0.00000601,0.00004019,302.41521382,0.13985055,-0.31768569,0.13985055,300.71225209,1.22674147,-0.31768569,1.22674147,291.81229444,7.15035747,-9.09122859,-6.07566269,-9.09122859,21.32338771,15.27529689,-6.07566269,15.27529689,17.89367058
0.46255214,-0.20777220,0.24563969,1.00000000,0.00000416,-0.00000770,0.00005056,302.72126902,0.14833143,-0.34672334,0.14833143,300.78269887,1.36887933,-0.34672334,1.36887933,290.86666766,7.04222862,-8.90109478,-5.88523990,-8.90109478,21.09901327,15.01065917,-5.88523990,15.01065917,17.54017050
0.46249120,-0.20784417,0.24563450,1.00000000,0.00000505,-0.00000962,0.00006205,303.02809635,0.15470342,-0.37338513,0.15470342,300.84848090,1.50826199,-0.37338513,1.50826199,289.93869616,6.93334322,-8.71020656,-5.69455666,-8.71020656,20.87632109,14.74766476,-5.69455666,14.74766476,17.18897868
0.46242519,-0.20791707,0.24562864,1.00000000,0.00000601,-0.00001178,0.00007464,303.33564491,0.15893397,-0.39767404,0.15893397,300.90942747,1.64480599,-0.39767404,1.64480599,289.02846830,6.82373489,-8.51864649,-5.50371600,-8.51864649,20.65551059,14.48653190,-5.50371600,14.48653190,16.84038316
0.46235437,-0.20798980,0.24562207,1.00000000,0.00000702,-0.00001417,0.00008830,303.64386174,0.16099059,-0.41959470,0.16099059,300.96536426,1.77842649,-0.41959470,1.77842649,288.13606496,6.71343861,-8.32649980,-5.31282385,-8.32649980,20.43678512,14.22748304,-5.31282385,14.22748304,16.49467676
0.46227899,-0.20806125,0.24561477,0.99999999,0.00000810,-0.00001682,0.00010302,303.95269185,0.16084094,-0.43915339,0.16084094,301.01611332,1.90903739,-0.43915339,1.90903739,287.26155929,6.60249078,-8.13385438,-5.12198898,-8.13385438,20.22035174,13.97074455,-5.12198898,13.97074455,16.15215677
0.46219931,-0.20813038,0.24560672,0.99999999,0.00000923,-0.00001971,0.00011878,304.26207819,0.15845281,-0.45635812,0.15845281,301.06149316,2.03655127,-0.45635812,2.03655127,286.40501653,6.49092918,-7.94080068,-4.93132290,-7.94080068,20.00642101,13.71654649,-4.93132290,13.71654649,15.81312452
