x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.52000000,-0.18000000,0.26000000,1.00000000,0.00000000,0.00000000,0.00000000,200.00000000,0.00000000,0.00000000,0.00000000,200.00000000,0.00000000,0.00000000,0.00000000,200.00000000,43.02075988,1.77425290,9.49086026,1.77425290,3.18737855,1.56129499,9.49086026,1.56129499,7.84478361
0.51999976,-0.18000010,0.26000010,1.00000000,0.00000001,0.00000004,0.00000079,200.20434448,0.00113915,-0.00114721,0.00113915,200.15010094,-0.04448536,-0.00114721,-0.04448536,200.12842024,42.93283311,1.76334878,9.48948153,1.76334878,3.27679896,1.62266816,9.48948153,1.62266816,7.89938992
0.51999897,-0.18000018,0.26000038,1.00000000,0.00000005,0.00000016,0.00000314,200.40895044,0.00229558,-0.00225208,0.00229558,200.29978172,-0.08904321,-0.00225208,-0.08904321,200.25721329,42.84390834,1.75235129,9.48801236,1.75235129,3.36857596,1.68606282,9.48801236,1.68606282,7.95598477
0.51999751,-0.17999990,0.26000084,1.00000000,0.00000010,0.00000036,0.00000700,200.61381808,0.00346818,-0.00331455,0.00346818,200.44902484,-0.13367847,-0.00331455,-0.13367847,200.38637907,42.75398463,1.74126158,9.48644964,1.74126158,3.46275545,1.75152302,9.48644964,1.75152302,8.01461256
0.51999529,-0.17999894,0.26000147,1.00000000,0.00000018,0.00000062,0.00001233,200.81894757,0.00465583,-0.00433458,0.00465583,200.59781244,-0.17839622,-0.00433458,-0.17839622,200.51591738,42.66306140,1.73008087,9.48479021,1.73008087,3.55938347,1.81909291,9.48479021,1.81909291,8.07531778
0.51999221,-0.17999697,0.26000225,1.00000000,0.00000028,0.00000095,0.00001909,201.02433907,0.00585735,-0.00531215,0.00585735,200.74612629,-0.22320165,-0.00531215,-0.22320165,200.64582799,42.57113840,1.71881044,9.48303080,1.71881044,3.65850610,1.88881675,9.48303080,1.88881675,8.13814497
0.51998816,-0.17999368,0.26000319,1.00000000,0.00000040,0.00000135,0.00002724,201.22999272,0.00707153,-0.00624725,0.00707153,200.89394782,-0.26810011,-0.00624725,-0.26810011,200.77611054,42.47821571,1.70745166,9.48116809,1.70745166,3.76016948,1.96073885,9.48116809,1.96073885,8.20313865
0.51998306,-0.17998877,0.26000426,1.00000000,0.00000054,0.00000181,0.00003674,201.43590862,0.00829710,-0.00713988,0.00829710,201.04125807,-0.31309706,-0.00713988,-0.31309706,200.90676463,42.38429379,1.69600597,9.47919869,1.69600597,3.86441973,2.03490350,9.47919869,2.03490350,8.27034329
0.51997682,-0.17998192,0.26000547,1.00000000,0.00000070,0.00000232,0.00004755,201.64208688,0.00953276,-0.00799006,0.00953276,201.18803775,-0.35819809,-0.00799006,-0.35819809,201.03778977,42.28937343,1.68447489,9.47711913,1.68447489,3.97130290,2.11135495,9.47711913,2.11135495,8.33980324
0.51996936,-0.17997283,0.26000680,1.00000000,0.00000088,0.00000288,0.00005964,201.84852754,0.01077719,-0.00879784,0.01077719,201.33426722,-0.40340893,-0.00879784,-0.40340893,201.16918537,42.19345581,1.67285999,9.47492588,1.67285999,4.08086494,2.19013733,9.47492588,2.19013733,8.41156267
