x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.55000000,0.00000000,0.30000000,0.00889318,-0.00384060,0.00016302,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,2.84614314,2.39050928,2.34452866,2.39050928,2.10133131,2.10163010,2.34452866,2.10163010,3.92156226
0.55008893,-0.00003841,0.30000163,0.01656373,-0.00670915,0.00034802,300.23090762,-0.30585738,-0.00748492,-0.30585738,298.98783709,-0.00495308,-0.00748492,-0.00495308,297.38676569,2.68755608,2.09823098,2.43301861,2.09823098,1.71958827,1.95681548,2.43301861,1.95681548,4.09293244
0.55033127,-0.00013418,0.30000696,0.03019001,-0.01110567,0.00075789,300.44942728,-0.63934543,-0.01174505,-0.63934543,297.95843823,-0.00944146,-0.01174505,-0.00944146,294.76106950,2.52613248,1.80518018,2.51599058,1.80518018,1.36856828,1.78349330,2.51599058,1.78349330,4.29741514
0.55069273,-0.00026052,0.30001679,0.04053453,-0.01297045,0.00125643,300.65379310,-1.00231340,-0.01205713,-1.00231340,296.91008611,-0.01348598,-0.01205713,-0.01348598,292.12211977,2.36268300,1.51351120,2.59197643,1.51351120,1.05583507,1.57859027,2.59197643,1.57859027,4.53851150
0.55114197,-0.00039359,0.30003209,0.04787970,-0.01259368,0.00186071,300.84207435,-1.39666565,-0.00762370,-1.39666565,295.84095643,-0.01712761,-0.00762370,-0.01712761,289.46911156,2.19810921,1.22556491,2.65944006,1.22556491,0.78935302,1.33901273,2.65944006,1.33901273,4.81972772
0.55165033,-0.00051239,0.30005400,0.05248069,-0.01024771,0.00258554,301.01217472,-1.82435078,0.00242553,-1.82435078,294.74912635,-0.02043203,0.00242553,-0.02043203,286.80123849,2.03339444,0.94383879,2.71680560,0.94383879,0.57736118,1.06171433,2.71680560,1.06171433,5.14449364
0.55219158,-0.00059855,0.30008380,0.05456483,-0.00618573,0.00344220,301.16183481,-2.28734879,0.01903039,-2.28734879,293.63258636,-0.02349457,0.01903039,-0.02349457,284.11770703,1.86959091,0.67094745,2.76249183,0.67094745,0.42821730,0.74377486,2.76249183,0.74377486,5.51606806
0.55274162,-0.00063611,0.30012285,0.05433154,-0.00063982,0.00443703,301.28863835,-2.78765587,0.04319478,-2.78765587,292.48925557,-0.02644547,0.04319478,-0.02644547,281.41775334,1.70780307,0.40957369,2.79495275,0.40957369,0.35021283,0.38248956,2.79495275,0.38248956,5.93743206
0.55327821,-0.00061134,0.30017254,0.05195333,0.00618131,0.00557013,301.39002237,-3.32726725,0.07597872,-3.32726725,291.31700048,-0.02945538,0.07597872,-0.02945538,278.70066269,1.54916727,0.16241043,2.81272353,0.16241043,0.35136150,-0.02453301,2.81272353,-0.02453301,6.41117239
0.55378069,-0.00051248,0.30023425,0.04757801,0.01409432,0.00683436,301.46329178,-3.90815800,0.11848798,-3.90815800,290.11365720,-0.03274076,0.11848798,-0.03274076,275.96579121,1.39482817,-0.06790532,2.81447075,-0.06790532,0.43916602,-0.47926692,2.81447075,-0.47926692,6.93935791
0.55422977,-0.00032946,0.30030923,0.04133263,0.02294251,0.00821481,301.50563849,-4.53226208,0.17186098,-4.53226208,288.87705673,-0.03656916,0.17186098,-0.03656916,273.21258987,1.24591223,-0.27886490,2.79904565,-0.27886490,0.62036948,-0.98316201,2.79904565,-0.98316201,7.52341317
