x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.55000000,0.00000000,0.30000000,-0.00033592,0.00132770,-0.00018341,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,1.08095498,0.29722417,5.61452330,0.29722417,0.14886743,1.75797641,5.61452330,1.75797641,51.04792190
0.54999664,0.00001328,0.29999817,-0.00065967,0.00262510,-0.00036118,299.64112489,0.51023514,-0.01878344,0.51023514,299.13242785,0.54215472,-0.01878344,0.54215472,299.96197341,0.95309737,0.24177311,5.23436853,0.24177311,0.12612596,1.53363973,5.23436853,1.53363973,51.29302278
0.54998681,0.00005250,0.29999278,-0.00128853,0.00517572,-0.00070844,299.29054819,1.02064338,-0.03807272,1.02064338,298.27437812,1.07446303,-0.03807272,1.07446303,299.93143796,0.83142425,0.19024680,4.84952096,0.19024680,0.10604030,1.30545746,4.84952096,1.30545746,51.54948461
0.54997087,0.00011679,0.29998400,-0.00187967,0.00763965,-0.00103938,298.94837975,1.53115129,-0.05787800,1.53115129,297.42588015,1.59684320,-0.05787800,1.59684320,299.90841881,0.71645424,0.14296652,4.46018146,0.14296652,0.08882273,1.07347967,4.46018146,1.07347967,51.81767483
0.54994921,0.00020529,0.29997199,-0.00243254,0.01002004,-0.00135445,298.61472557,2.04168147,-0.07820927,2.04168147,296.58695208,2.10922189,-0.07820927,2.10922189,299.89293353,0.60871669,0.10026270,4.06656641,0.10026270,0.07469309,0.83776396,4.06656641,0.83776396,52.09795870
0.54992222,0.00031719,0.29995691,-0.00294706,0.01231972,-0.00165411,298.28968760,2.55215252,-0.09907635,2.55215252,295.75760038,2.61153459,-0.09907635,2.61153459,299.88499185,0.50875034,0.06247437,3.66890788,0.06247437,0.06387864,0.59837562,3.66890788,0.59837562,52.39069778
0.54989027,0.00045169,0.29993891,-0.00342363,0.01454121,-0.00193876,297.97336347,3.06247897,-0.12048882,3.06247897,294.93781948,3.10372599,-0.12048882,3.10372599,299.88459542,0.41710175,0.02994860,3.26745367,0.02994860,0.05661393,0.35538786,3.26745367,0.35538786,52.69624835
0.54985375,0.00060802,0.29991813,-0.00386315,0.01668668,-0.00220880,297.66584632,3.57257127,-0.14245601,3.57257127,294.12759134,3.58575043,-0.14245601,3.58575043,299.89173751,0.33432371,0.00303983,2.86246743,0.00303983,0.05314059,0.10888203,2.86246743,0.10888203,53.01495978
0.54981301,0.00078542,0.29989473,-0.00426705,0.01875798,-0.00246459,297.36722451,4.08233573,-0.16498696,4.08233573,293.32688512,4.05757228,-0.16498696,4.05757228,299.90640287,0.26097337,-0.01789089,2.45422866,-0.01789089,0.05370709,-0.14105227,2.45422866,-0.14105227,53.34717271
0.54976841,0.00098318,0.29986884,-0.00463732,0.02075657,-0.00270649,297.07758149,4.59167459,-0.18809039,4.59167459,292.53565680,4.51916631,-0.18809039,4.51916631,299.92856748,0.19761030,-0.03247673,2.04303261,-0.03247673,0.05856852,-0.39431697,2.04303261,-0.39431697,53.69321715
0.54972026,0.00120055,0.29984060,-0.00497647,0.02268355,-0.00293481,296.79699552,5.10048595,-0.21177465,5.10048595,291.75384894,4.97051807,-0.21177465,4.97051807,299.95819841,0.14479438,-0.04034597,1.62919019,-0.04034597,0.06798623,-0.65080546,1.62919019,-0.65080546,54.05341053
0.54966888,0.00143685,0.29981014,-0.00528757,0.02453966,-0.00314987,296.52553954,5.60866381,-0.23604766,5.60866381,290.98139036,5.41162418,-0.23604766,5.41162418,299.99525371,0.10308350,-0.04112298,1.21302780,-0.04112298,0.08222756,-0.91040242,1.21302780,-0.91040242,54.42805556
0.54961451,0.00169135,0.29977760,-0.00557421,0.02632526,-0.00335197,296.26328099,6.11609816,-0.26091693,6.11609816,290.21819595,5.84249270,-0.26091693,5.84249270,300.03968223,0.07303115,-0.03442935,0.79488704,-0.03442935,0.10156539,-1.17298378,0.79488704,-1.17298378,54.81743812
0.54955739,0.00196335,0.29974311,-0.00584050,0.02804038,-0.00354138,296.01028159,6.62267497,-0.28638947,6.62267497,289.46416650,6.26314336,-0.28638947,6.26314336,300.09142360,0.05518384,-0.01988495,0.37512442,-0.01988495,0.12627782,-1.43841662,0.37512442,-1.43841662,55.22182493
0.54949770,0.00225216,0.29970678,-0.00609105,0.02968473,-0.00371839,295.76659725,7.12827626,-0.31247176,7.12827626,288.71918857,6.67360785,-0.31247176,6.67360785,300.15040818,0.05007842,0.00289077,-0.04588906,0.00289077,0.15664762,-1.70655915,-0.04588906,-1.70655915,55.64146126
