x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.55000000,0.00000000,0.30000000,0.00010750,0.00070397,0.00009011,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,44.90146759,-60.55837751,6.12632818,-60.55837751,81.83632641,-7.56959536,6.12632818,-7.56959536,26.94159335
0.55000107,0.00000704,0.30000090,0.00021032,0.00141696,0.00017777,300.17923195,-0.04094976,-0.19718591,-0.04094976,300.32208949,0.02943029,-0.19718591,0.02943029,299.63771170,44.72691241,-60.15307276,6.16025550,-60.15307276,81.06564629,-7.51031261,6.16025550,-7.51031261,27.06742084
0.55000421,0.00002834,0.30000356,0.00040936,0.00285606,0.00034944,300.35481910,-0.08224529,-0.39676615,-0.08224529,300.64411791,0.06141277,-0.39676615,0.06141277,299.27597799,44.54936704,-59.74214570,6.19438660,-59.74214570,80.28717697,-7.44904796,6.19438660,-7.44904796,27.19529220
0.55000926,0.00006416,0.30000789,0.00059575,0.00432097,0.00051389,300.52664006,-0.12387669,-0.59874866,-0.12387669,300.96603772,0.09598657,-0.59874866,0.09598657,298.91480192,44.36880460,-59.32560559,6.22870613,-59.32560559,79.50106919,-7.38575095,6.22870613,-7.38575095,27.32521308
0.55001612,0.00011476,0.30001383,0.00077058,0.00581072,0.00067120,300.69457065,-0.16583337,-0.80314020,-0.16583337,301.28779959,0.13319084,-0.80314020,0.13319084,298.55418612,44.18519886,-58.90346544,6.26319797,-58.90346544,78.70748333,-7.32037082,6.26319797,-7.32037082,27.45718766
0.55002467,0.00018038,0.30002131,0.00093490,0.00732438,0.00082148,300.85848387,-0.20810402,-1.00994625,-0.20810402,301.60935239,0.17306481,-1.00994625,0.17306481,298.19413289,43.99852424,-58.47574211,6.29784521,-58.47574211,77.90658945,-7.25285659,6.29784521,-7.25285659,27.59121855
0.55003482,0.00026125,0.30003026,0.00108974,0.00886108,0.00096483,301.01824994,-0.25067656,-1.21917094,-0.25067656,301.93064319,0.21564770,-1.21917094,0.21564770,297.83464411,43.80875584,-58.04245644,6.33263011,-58.04245644,77.09856739,-7.18315713,6.33263011,-7.18315713,27.72730675
0.55004647,0.00035760,0.30004061,0.00123610,0.01041993,0.00110137,301.17373628,-0.29353814,-1.43081708,-0.29353814,302.25161719,0.26097873,-1.43081708,0.26097873,297.47572127,43.61586950,-57.60363326,6.36753409,-57.60363326,76.28360678,-7.11122122,6.36753409,-7.11122122,27.86545157
0.55005954,0.00046964,0.30005229,0.00137497,0.01200011,0.00123119,301.32480753,-0.33667515,-1.64488603,-0.33667515,302.57221781,0.30909707,-1.64488603,0.30909707,297.11736549,43.41984178,-57.15930157,6.40253774,-57.15930157,75.46190708,-7.03699766,6.40253774,-7.03699766,28.00565053
0.55007397,0.00059760,0.30006523,0.00150730,0.01360081,0.00135440,301.47132557,-0.38007314,-1.86137770,-0.38007314,302.89238660,0.36004187,-1.86137770,0.36004187,296.75957746,43.22065005,-56.70949453,6.43762080,-56.70949453,74.63367756,-6.96043530,6.43762080,-6.96043530,28.14789929
0.55008969,0.00074166,0.30007938,0.00163399,0.01522126,0.00147111,301.61314956,-0.42371686,-2.08029052,-0.42371686,303.21206325,0.41385217,-2.08029052,0.41385217,296.40235750,43.01827245,-56.25424958,6.47276215,-56.25424958,73.79913732,-6.88148315,6.47276215,-6.88148315,28.29219160
0.55010665,0.00090202,0.30009466,0.00175594,0.01686071,0.00158144,301.75013593,-0.46759019,-2.30162133,-0.46759019,303.53118565,0.47056691,-2.30162133,0.47056691,296.04570552,42.81268799,-55.79360853,6.50793980,-55.79360853,72.95851522,-6.80009050,6.50793980,-6.80009050,28.43851916
0.55012481,0.00107888,0.30011101,0.00187399,0.01851844,0.00168549,301.88213847,-0.51167619,-2.52536539,-0.51167619,303.84968983,0.53022489,-2.52536539,0.53022489,295.68962105,42.60387651,-55.32761757,6.54313088,-55.32761757,72.11204984,-6.71620695,6.54313088,-6.71620695,28.58687160
0.55014413,0.00127239,0.30012837,0.00198896,0.02019375,0.00178338,302.00900830,-0.55595700,-2.75151634,-0.55595700,304.16750997,0.59286475,-2.75151634,0.59286475,295.33410320,42.39181875,-54.85632738,6.57831164,-54.85632738,71.25998937,-6.62978257,6.57831164,-6.62978257,28.73723636
0.55016459,0.00148275,0.30014667,0.00210163,0.02188597,0.00187522,302.13059400,-0.60041390,-2.98006609,-0.60041390,304.48457847,0.65852495,-2.98006609,0.65852495,294.97915070,42.17649639,-54.37979315,6.61345746,-54.37979315,70.40259158,-6.54076794,6.61345746,-6.54076794,28.88959863
0.55018616,0.00171011,0.30016587,0.00221272,0.02359445,0.00196113,302.24674161,-0.64502723,-3.21100488,-0.64502723,304.80082590,0.72724371,-3.21100488,0.72724371,294.62476192,41.95789200,-53.89807465,6.64854280,-53.89807465,69.54012361,-6.44911433,6.64854280,-6.44911433,29.04394126
0.55020884,0.00195464,0.30018590,0.00232294,0.02531857,0.00204123,302.35729468,-0.68977643,-3.44432114,-0.68977643,305.11618105,0.79905902,-3.44432114,0.79905902,294.27093483,41.73598916,-53.41123628,6.68354125,-53.41123628,68.67286188,-6.35477374,6.68354125,-6.35477374,29.20024467
0.55023262,0.00221648,0.30020670,0.00243295,0.02705773,0.00211564,302.46209441,-0.73463998,-3.68000150,-0.73463998,305.43057095,0.87400857,-3.68000150,0.87400857,293.91766703,41.51077242,-52.91934708,6.71842551,-52.91934708,67.80109190,-6.25769903,6.71842551,-6.25769903,29.35848679
0.55025750,0.00249579,0.30022821,0.00254334,0.02881132,0.00218447,302.56097964,-0.77959542,-3.91803077,-0.77959542,305.74392089,0.95212977,-3.91803077,0.95212977,293.56495576,41.28222736,-52.42248075,6.75316736,-52.42248075,66.92510807,-6.15784406,6.75316736,-6.15784406,29.51864298
0.55028349,0.00279271,0.30025038,0.00265470,0.03057878,0.00224785,302.65378700,-0.82461931,-4.15839186,-0.82461931,306.05615447,1.03345965,-4.15839186,1.03345965,293.21279793,41.05034056,-51.92071573,6.78773773,-51.92071573,66.04521346,-6.05516381,6.78773773,-6.05516381,29.68068592
0.55031059,0.00310737,0.30027317,0.00276754,0.03235955,0.00230590,302.74035095,-0.86968724,-4.40106575,-0.86968724,306.36719360,1.11803491,-4.40106575,1.11803491,292.86119009,40.81509969,-51.41413515,6.82210664,-51.41413515,65.16171959,-5.94961444,6.82210664,-5.94961444,29.84458556
0.55033884,0.00343990,0.30029650,0.00288233,0.03415308,0.00235873,302.82050392,-0.91477381,-4.64603149,-0.91477381,306.67695859,1.20589180,-4.64603149,1.20589180,292.51012851,40.57649348,-50.90282686,6.85624322,-50.90282686,64.27494613,-5.84115351,6.85624322,-5.84115351,30.01030906
0.55036824,0.00379043,0.30032034,0.00299950,0.03595882,0.00240647,302.89407641,-0.95985260,-4.89326614,-0.95985260,306.98536813,1.29706617,-4.89326614,1.29706617,292.15960910,40.33451178,-50.38688346,6.89011574,-50.38688346,63.38522062,-5.72974003,6.89011574,-5.72974003,30.17782066
0.55039883,0.00415908,0.30034463,0.00311943,0.03777624,0.00244924,302.96089706,-1.00489619,-5.14274474,-1.00489619,307.29233941,1.39159338,-5.14274474,1.39159338,291.80962755,40.08914551,-49.86640223,6.92369161,-49.86640223,62.49287814,-5.61533462,6.92369161,-5.61533462,30.34708167
0.55043063,0.00454596,0.30036933,0.00324245,0.03960479,0.00248714,303.02079284,-1.04987614,-5.39444031,-1.04987614,307.59778813,1.48950829,-5.39444031,1.48950829,291.46017923,39.84038676,-49.34148515,6.95693738,-49.34148515,61.59826101,-5.49789964,6.95693738,-5.49789964,30.51805036
0.55046368,0.00495117,0.30039438,0.00336883,0.04144395,0.00252030,303.07358913,-1.09476297,-5.64832378,-1.09476297,307.90162856,1.59084521,-5.64832378,1.59084521,291.11125931,39.58822876,-48.81223889,6.98981874,-48.81223889,60.70171837,-5.37739934,6.98981874,-5.37739934,30.69068190
0.55049800,0.00537483,0.30041973,0.00349880,0.04329316,0.00254884,303.11910990,-1.13952617,-5.90436400,-1.13952617,308.20377362,1.69563789,-5.90436400,1.69563789,290.76286272,39.33266589,-48.27877473,7.02230058,-48.27877473,59.80360581,-5.25379995,7.02230058,-5.25379995,30.86492830
0.55053365,0.00581704,0.30044535,0.00363256,0.04515188,0.00257285,303.15717780,-1.18413420,-6.16252772,-1.18413420,308.50413494,1.80391946,-6.16252772,1.80391946,290.41498420,39.07369371,-47.74120855,7.05434696,-47.74120855,58.90428497,-5.12706987,7.05434696,-5.12706987,31.04073836
0.55057066,0.00627787,0.30047119,0.00377021,0.04701955,0.00259245,303.18761438,-1.22855444,-6.42277954,-1.22855444,308.80262293,1.91572243,-6.42277954,1.91572243,290.06761833,38.81130899,-47.19966076,7.08592114,-47.19966076,58.00412310,-4.99717977,7.08592114,-4.99717977,31.21805757
0.55060906,0.00675743,0.30049720,0.00391185,0.04889559,0.00260774,303.21024022,-1.27275326,-6.68508195,-1.27275326,309.09914688,2.03107860,-6.68508195,2.03107860,289.72075957,38.54550968,-46.65425625,7.11698562,-46.65425625,57.10349258,-4.86410273,7.11698562,-4.86410273,31.39682812
0.55064889,0.00725578,0.30052334,0.00405750,0.05077941,0.00261883,303.22487511,-1.31669594,-6.94939526,-1.31669594,309.39361498,2.15001907,-6.94939526,2.15001907,289.37440225,38.27629495,-46.10512434,7.14750212,-46.10512434,56.20277049,-4.72781440,7.14750212,-4.72781440,31.57698877
0.55069021,0.00777302,0.30054958,0.00420714,0.05267040,0.00262580,303.23133823,-1.36034673,-7.21567761,-1.36034673,309.68593451,2.27257419,-7.21567761,2.27257419,289.02854067,38.00366519,-45.55239864,7.17743166,-45.55239864,55.30233804,-4.58829311,7.17743166,-4.58829311,31.75847488
