x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.55000000,0.00000000,0.30000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,75.14669808,12.04812067,37.33277108,12.04812067,4.37033579,13.98690963,37.33277108,13.98690963,47.46530897
0.54999974,-0.00000487,0.30000040,-0.00005772,-0.00096417,0.00008050,299.48863261,1.07334817,0.19299851,1.07334817,298.87382747,-0.22143792,0.19299851,-0.22143792,299.93799784,74.80706628,11.95409011,37.20686468,11.95409011,4.46739950,14.11012011,37.20686468,14.11012011,47.07719648
0.54999874,-0.00001908,0.30000160,-0.00014760,-0.00186773,0.00015802,298.97883953,2.14659834,0.38494437,2.14659834,297.74704885,-0.44144311,0.38494437,-0.44144311,299.87247012,74.46271173,11.85888729,37.07898626,11.85888729,4.56896428,14.23360947,37.07898626,14.23360947,46.68857684
0.54999669,-0.00004203,0.30000356,-0.00026785,-0.00271205,0.00023253,298.47064426,3.21972671,0.57581933,3.21972671,296.61968087,-0.65999040,0.57581933,-0.65999040,299.80332152,74.11363978,11.76252040,36.94912663,11.76252040,4.67516885,14.35731132,36.94912663,14.35731132,46.29967325
0.54999329,-0.00007313,0.30000624,-0.00041669,-0.00349839,0.00030398,297.96406997,4.29270914,0.76560516,4.29270914,295.49174107,-0.87705466,0.76560516,-0.87705466,299.73045497,73.75985876,11.66499865,36.81727742,11.66499865,4.78615332,14.48115713,36.81727742,14.48115713,45.91071568
0.54998826,-0.00011181,0.30000962,-0.00059238,-0.00422794,0.00037234,297.45913943,5.36552110,0.95428363,5.36552110,294.36324787,-1.09261076,0.95428363,-1.09261076,299.65377175,73.40137996,11.56633223,36.68343108,11.56633223,4.90205902,14.60507626,36.68343108,14.60507626,45.52194065
0.54998135,-0.00015750,0.30001368,-0.00079317,-0.00490180,0.00043758,296.95587497,6.43813772,1.14183657,6.43813772,293.23422057,-1.30663366,1.14183657,-1.30663366,299.57317144,73.03821777,11.46653237,36.54758088,11.46653237,5.02302831,14.72899600,36.54758088,14.72899600,45.13359115
0.54997232,-0.00020966,0.30001837,-0.00101741,-0.00552098,0.00049968,296.45429851,7.51053375,1.32824585,7.51053375,292.10467941,-1.51909838,1.32824585,-1.51909838,299.48855199,72.67038966,11.36561131,36.40972096,11.36561131,5.14920442,14.85284165,36.40972096,14.85284165,44.74591637
0.54996093,-0.00026774,0.30002366,-0.00126342,-0.00608640,0.00055860,295.95443147,8.58268359,1.51349340,8.58268359,290.97464562,-1.72998003,1.51349340,-1.72998003,299.39980977,72.29791634,11.26358234,36.26984637,11.26358234,5.28073126,14.97653655,36.26984637,14.97653655,44.35917152
0.54994699,-0.00033121,0.30002953,-0.00152960,-0.00659887,0.00061433,295.45629477,9.65456126,1.69756123,9.65456126,289.84414150,-1.93925385,1.69756123,-1.93925385,299.30683957,71.92082170,11.16045982,36.12795304,11.16045982,5.41775316,15.10000214,36.12795304,15.10000214,43.97361757
