x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.55000000,0.00000000,0.30000000,1.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.29677593,0.68316927,-0.38039755,0.68316927,1.96374833,-0.65532085,-0.38039755,-0.65532085,15.92832258
0.55006174,-0.00004600,0.30001304,1.00000000,-0.00001080,0.00001136,0.00000204,300.17809853,-0.22086523,-0.03344840,-0.22086523,299.69022563,-0.40788837,-0.03344840,-0.40788837,297.67757893,0.23354210,0.53351769,-0.26216651,0.53351769,1.63253223,-0.29620608,-0.26216651,-0.29620608,15.44864681
0.55022534,-0.00016659,0.30005112,1.00000000,-0.00004172,0.00004404,0.00000834,300.34093409,-0.46012193,-0.06561194,-0.46012193,299.34717739,-0.83143113,-0.06561194,-0.83143113,295.33255367,0.17733855,0.39563564,-0.16070521,0.39563564,1.32244759,0.03644361,-0.16070521,0.03644361,14.99701327
0.55046050,-0.00033743,0.30011285,0.99999999,-0.00008994,0.00009541,0.00001921,300.48671367,-0.71934732,-0.09605754,-0.71934732,298.96788856,-1.27145770,-0.09605754,-1.27145770,292.96332846,0.12959176,0.27236012,-0.07928435,0.27236012,1.03934602,0.33584234,-0.07928435,0.33584234,14.58124945
0.55073975,-0.00053631,0.30019703,0.99999997,-0.00015289,0.00016302,0.00003490,300.61350153,-1.00020333,-0.12431142,-1.00020333,298.54922754,-1.72881627,-0.12431142,-1.72881627,290.56827020,0.09176062,0.16665069,-0.02127500,0.16665069,0.78944339,0.59482617,-0.02127500,0.59482617,14.20959766
0.55103834,-0.00074289,0.30030265,0.99999994,-0.00022821,0.00024464,0.00005558,300.71922157,-1.30443020,-0.14986192,-1.30443020,298.08791086,-2.20437170,-0.14986192,-2.20437170,288.14572736,0.06530181,0.08153409,0.00992235,0.08153409,0.57923462,0.80596234,0.00992235,0.80596234,13.89057835
0.55133415,-0.00093855,0.30042888,0.99999989,-0.00031378,0.00033821,0.00008140,300.80166269,-1.63383769,-0.17216377,-1.63383769,297.58052106,-2.69900278,-0.17216377,-2.69900278,285.69405281,0.05162868,0.02003663,0.01096278,0.02003663,0.41538618,0.96168518,0.01096278,0.96168518,13.63282082
0.55160766,-0.00110616,0.30057499,0.99999981,-0.00040764,0.00044185,0.00011242,300.85848770,-1.99029373,-0.19064396,-1.99029373,297.02353000,-3.21359903,-0.19064396,-3.21359903,283.21163064,0.05206403,-0.01489503,-0.02134444,-0.01489503,0.30460686,1.05445800,-0.02134444,1.05445800,13.44486263
0.55184188,-0.00122998,0.30074041,0.99999971,-0.00050804,0.00055381,0.00014868,300.88724591,-2.37571057,-0.20470903,-2.37571057,296.41332762,-3.74905657,-0.20470903,-3.74905657,280.69690677,0.06778777,-0.02048362,-0.08992568,-0.02048362,0.25349829,1.07695866,-0.08992568,1.07695866,13.33492038
0.55202233,-0.00129555,0.30092459,0.99999957,-0.00061336,0.00067251,0.00019015,300.88538971,-2.79202834,-0.21375405,-2.79202834,295.74625621,-4.30627311,-0.21375405,-4.30627311,278.14842322,0.09978082,0.00578057,-0.19732351,0.00578057,0.26838852,1.02228499,-0.19732351,1.02228499,13.31063691
0.55213688,-0.00128968,0.30112704,0.99999939,-0.00072216,0.00079648,0.00023677,300.85029515,-3.24119626,-0.21717287,-3.24119626,295.01865005,-4.88614167,-0.21717287,-4.88614167,275.56485533,0.14876712,0.06603591,-0.34557181,0.06603591,0.35515288,0.88417437,-0.34557181,0.88417437,13.37881189
0.55217568,-0.00120042,0.30134723,0.99999918,-0.00083311,0.00092438,0.00028843,300.77928638,-3.72515172,-0.21436972,-3.72515172,294.22687981,-5.48954293,-0.21436972,-5.48954293,272.94505146,0.21515592,0.16194347,-0.53606983,0.16194347,0.51902796,0.65723032,-0.53606983,0.65723032,13.54512480
0.55213097,-0.00101711,0.30158459,0.99999894,-0.00094503,0.00105499,0.00034501,300.66966372,-4.24579756,-0.20477170,-4.24579756,293.36740116,-6.11733603,-0.20477170,-6.11733603,270.28807424,0.29898724,0.29458322,-0.76946041,0.29458322,0.76442575,0.33714738,-0.76946041,0.33714738,13.81386105
0.55199686,-0.00073040,0.30183843,0.99999865,-0.00105684,0.00118718,0.00040631,300.51873494,-4.80497819,-0.18784194,-4.80497819,292.43680652,-6.77034750,-0.18784194,-6.77034750,267.59324222,0.39988321,0.46435703,-1.04551834,0.46435703,1.09475574,-0.07907541,-1.04551834,-0.07907541,14.18765349
0.55176908,-0.00033234,0.30210795,0.99999834,-0.00116757,0.00131991,0.00047214,300.32384904,-5.40445494,-0.16309290,-5.40445494,291.43187884,-7.44935851,-0.16309290,-7.44935851,264.86017091,0.51700838,0.67090344,-1.36305467,0.67090344,1.51226330,-0.59294271,-1.36305467,-0.59294271,14.66725171
0.55144466,0.00018362,0.30239221,0.99999798,-0.00127635,0.00145226,0.00054225,300.08243179,-6.04588157,-0.13009948,-6.04588157,290.34964597,-8.15509008,-0.13009948,-8.15509008,262.08881177,0.64904208,0.91302895,-1.71984320,0.91302895,2.01789283,-1.20430298,-1.71984320,-1.20430298,15.25133219
0.55102168,0.00082261,0.30269008,0.99999760,-0.00138240,0.00158336,0.00061638,299.79202208,-6.73078044,-0.08851137,-6.73078044,289.18743412,-8.88818662,-0.08851137,-8.88818662,259.27948795,0.79416537,1.18866050,-2.11257436,1.18866050,2.61118323,-1.91122996,-2.11257436,-1.91122996,15.93636078
0.55049900,0.00158840,0.30300031,0.99999719,-0.00148501,0.00171243,0.00069425,299.45030799,-7.46052026,-0.03806423,-7.46052026,287.94291883,-9.64919784,-0.03806423,-9.64919784,256.43292554,0.95006497,1.49482285,-2.53684108,1.49482285,3.29020255,-2.70995364,-2.53684108,-2.70995364,16.71651765
0.54987607,0.00248341,0.30332147,0.99999675,-0.00158357,0.00183876,0.00077553,299.05516160,-8.23629604,0.02141085,-8.23629604,286.61417189,-10.43855939,0.02141085,-10.43855939,253.55027903,1.11395563,1.82764365,-2.98716012,1.82764365,4.05152669,-3.59484665,-2.98716012,-3.59484665,17.58369217
0.54915277,0.00350886,0.30365199,0.99999630,-0.00167752,0.00196171,0.00085990,298.60467127,-9.05911201,0.08997987,-9.05911201,285.19970264,-11.25657274,0.08997987,-11.25657274,250.63315005,1.28262196,2.18238783,-3.45703026,2.18238783,4.89026513,-4.55846964,-3.45703026,-4.55846964,18.52755206
0.54832942,0.00466490,0.30399017,0.99999583,-0.00176636,0.00208071,0.00094700,298.09717055,-9.92976792,0.16760081,-9.92976792,283.69849245,-12.10338472,0.16760081,-12.10338472,247.68359868,1.45247960,2.55352157,-3.93902778,2.55352157,5.80013429,-5.59167618,-3.93902778,-5.59167618,19.53568760
0.54740679,0.00595080,0.30433422,0.99999534,-0.00184967,0.00219524,0.00103647,297.53126261,-10.84884940,0.25412113,-10.84884940,282.11002121,-12.97896755,0.25412113,-12.97896755,244.70414661,1.61965469,2.93480452,-4.42493727,2.93480452,6.77357665,-6.68377481,-4.42493727,-6.68377481,20.59382806
0.54638619,0.00736509,0.30468224,0.99999485,-0.00192706,0.00230483,0.00112792,296.90583957,-11.81672234,0.34927789,-11.81672234,280.43428513,-13.88309992,0.34927789,-13.88309992,241.69777203,1.78008013,3.31940790,-4.90591454,3.31940790,7.80192160,-7.82274304,-4.90591454,-7.82274304,21.68612387
0.54526962,0.00890578,0.30503225,0.99999436,-0.00199820,0.00240906,0.00122097,296.22009605,-12.83353175,0.45270056,-12.83353175,278.67180522,-14.81534996,0.45270056,-14.81534996,238.66789615,1.92960578,3.70005454,-5.37267663,3.70005454,8.87558161,-8.99548559,-5.37267663,-8.99548559,22.79548517
0.54405989,0.01057059,0.30538225,0.99999386,-0.00206281,0.00250758,0.00131521,295.47353671,-13.89920467,0.56391635,-13.89920467,276.82362666,-15.77506074,0.56391635,-15.77506074,235.61836166,2.06411950,4.06917636,-5.81571311,4.06917636,9.98427602,-10.18812696,-5.81571311,-10.18812696,23.90396457
