x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.46283000,-0.20737000,0.24566000,1.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,53.21034889,40.22582665,8.41229471,40.22582665,47.94101384,-7.69170300,8.41229471,-7.69170300,61.17759850
0.46282982,-0.20736327,0.24566080,1.00000000,0.00000202,-0.00000215,-0.00000158,299.97728421,-0.11062026,-0.12841647,-0.11062026,300.28023790,-0.04534923,-0.12841647,-0.04534923,300.18500842,53.08956369,39.88376131,8.07744693,39.88376131,47.17581188,-7.88863208,8.07744693,-7.88863208,60.87386981
0.46282984,-0.20734345,0.24566303,1.00000000,0.00000799,-0.00000849,-0.00000624,299.96055800,-0.21861678,-0.25845862,-0.21861678,300.56250878,-0.09163052,-0.25845862,-0.09163052,300.36578553,52.96592679,39.53522271,7.73686768,39.53522271,46.40080076,-8.08472782,7.73686768,-8.08472782,60.56860183
0.46283089,-0.20731104,0.24566640,1.00000000,0.00001772,-0.00001878,-0.00001384,299.94989695,-0.32396386,-0.39010918,-0.32396386,300.84680574,-0.13884578,-0.39010918,-0.13884578,300.54213051,52.83940584,39.18024491,7.39063805,39.18024491,45.61634333,-8.27968660,7.39063805,-8.27968660,60.26206350
0.46283383,-0.20726650,0.24567065,1.00000000,0.00003102,-0.00003280,-0.00002426,299.94537346,-0.42663776,-0.52334786,-0.42663776,301.13311950,-0.18699572,-0.52334786,-0.18699572,300.71383649,52.70996984,38.81887196,7.03885118,38.81887196,44.82283034,-8.47319292,7.03885118,-8.47319292,59.95453469
0.46283950,-0.20721026,0.24567554,1.00000000,0.00004772,-0.00005033,-0.00003735,299.94705651,-0.52661682,-0.65815116,-0.52661682,301.42143835,-0.23607973,-0.65815116,-0.23607973,300.88069060,52.57758924,38.45115819,6.68161271,38.45115819,44.02068056,-8.66491979,6.68161271,-8.66491979,59.64630570
0.46284878,-0.20714270,0.24568083,0.99999999,0.00006764,-0.00007117,-0.00005300,299.95501150,-0.62388155,-0.79449235,-0.62388155,301.71174809,-0.28609588,-0.79449235,-0.28609588,301.04247408,52.44223602,38.07716854,6.31904111,38.07716854,43.21034080,-8.85452917,6.31904111,-8.85452917,59.33767664
0.46286254,-0.20706418,0.24568628,0.99999999,0.00009063,-0.00009511,-0.00007108,299.96929994,-0.71841473,-0.93234133,-0.71841473,302.00403200,-0.33704081,-0.93234133,-0.33704081,301.19896242,52.30388371,37.69697894,5.95126807,37.69697894,42.39228584,-9.04167250,5.95126807,-9.04167250,59.02895671
0.46288166,-0.20697499,0.24569169,0.99999998,0.00011653,-0.00012195,-0.00009147,299.98997929,-0.81020154,-1.07166454,-0.81020154,302.29827077,-0.38890969,-1.07166454,-0.38890969,301.34992548,52.16250750,37.31067653,5.57843884,37.31067653,41.56701824,-9.22599132,5.57843884,-9.22599132,58.72046341
0.46290704,-0.20687540,0.24569685,0.99999997,0.00014517,-0.00015152,-0.00011407,300.01710273,-0.89922966,-1.21242494,-0.89922966,302.59444255,-0.44169616,-1.21242494,-0.44169616,301.49512770,52.01808428,36.91835999,5.20071252,36.91835999,40.73506799,-9.40711791,5.20071252,-9.40711791,58.41252167
0.46293956,-0.20676561,0.24570157,0.99999996,0.00017643,-0.00018362,-0.00013875,300.05071894,-0.98548933,-1.35458186,-0.98548933,302.89252284,-0.49539226,-1.35458186,-0.49539226,301.63432829,51.87059273,36.52013977,4.81826235,36.52013977,39.89699212,-9.58467611,4.81826235,-9.58467611,58.10546281
0.46298012,-0.20664579,0.24570567,0.99999994,0.00021014,-0.00021809,-0.00016541,300.09087190,-1.06897350,-1.49809100,-1.06897350,303.19248454,-0.54998843,-1.49809100,-0.54998843,301.76728151,51.72001331,36.11613830,4.43127597,36.11613830,39.05337406,-9.75828215,4.43127597,-9.75828215,57.79962353
0.46302962,-0.20651606,0.24570899,0.99999992,0.00024619,-0.00025476,-0.00019395,300.13760070,-1.14967786,-1.64290434,-1.14967786,303.49429793,-0.60547340,-1.64290434,-0.60547340,301.89373694,51.56632839,35.70649021,4.03995563,35.70649021,38.20482297,-9.92754558,4.03995563,-9.92754558,57.49534467
0.46308894,-0.20637650,0.24571137,0.99999989,0.00028444,-0.00029346,-0.00022427,300.19093932,-1.22760096,-1.78897015,-1.22760096,303.79793069,-0.66183416,-1.78897015,-0.66183416,302.01343980,51.40952220,35.29134250,3.64451838,35.29134250,37.35197290,-10.09207028,3.64451838,-10.09207028,57.19296997
0.46315898,-0.20622713,0.24571267,0.99999986,0.00032476,-0.00033404,-0.00025627,300.25091648,-1.30274427,-1.93623290,-1.30274427,304.10334792,-0.71905596,-1.93623290,-0.71905596,302.12613128,51.24958096,34.87085462,3.24519622,34.87085462,36.49548176,-10.25145558,3.24519622,-10.25145558,56.89284470
0.46324059,-0.20606794,0.24571276,0.99999982,0.00036704,-0.00037635,-0.00028986,300.31755543,-1.37511227,-2.08463329,-1.37511227,304.41051217,-0.77712225,-2.08463329,-0.77712225,302.23154900,51.08649282,34.44519864,2.84223620,34.44519864,35.63603025,-10.40529739,2.84223620,-10.40529739,56.59531422
0.46333465,-0.20589886,0.24571151,0.99999977,0.00041115,-0.00042023,-0.00032494,300.39087382,-1.44471248,-2.23410822,-1.44471248,304.71938346,-0.83601465,-2.23410822,-0.83601465,302.32942735,50.92024795,34.01455924,2.43590045,34.01455924,34.77432057,-10.55318949,2.43590045,-10.55318949,56.30072246
0.46344199,-0.20571980,0.24570882,0.99999972,0.00045698,-0.00046557,-0.00036143,300.47088356,-1.51155553,-2.38459082,-1.51155553,305.02991940,-0.89571292,-2.38459082,-0.89571292,302.41949803,50.75083850,33.57913375,2.02646625,33.57913375,33.91107499,-10.69472482,2.02646625,-10.69472482,56.00941026
0.46356342,-0.20553061,0.24570459,0.99999966,0.00050443,-0.00051220,-0.00039925,300.55759063,-1.57565522,-2.53601048,-1.57565522,305.34207519,-0.95619501,-2.53601048,-0.95619501,302.50149055,50.57825863,33.13913214,1.61422596,33.13913214,33.04703438,-10.82949686,1.61422596,-10.82949686,55.72171378
0.46369972,-0.20533111,0.24569874,0.99999959,0.00055339,-0.00056002,-0.00043831,300.65099502,-1.63702852,-2.68829287,-1.63702852,305.65580373,-1.01743697,-2.68829287,-1.01743697,302.57513272,50.40250454,32.69477693,1.19948694,32.69477693,32.18295645,-10.95710111,1.19948694,-10.95710111,55.43796264
0.46385163,-0.20512106,0.24569118,0.99999952,0.00060377,-0.00060889,-0.00047853,300.75109059,-1.69569563,-2.84136002,-1.69569563,305.97105572,-1.07941302,-2.84136002,-1.07941302,302.64015133,50.22357438,32.24630310,0.78257143,32.24630310,31.31961404,-11.07713653,0.78257143,-11.07713653,55.15847823
