x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.55000000,0.00000000,0.30000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,43.19053250,-11.43651269,25.96422551,-11.43651269,3.24061472,-7.88401853,25.96422551,-7.88401853,38.54185305
0.54999737,-0.00000175,0.30000084,-0.00052790,-0.00034120,0.00016699,299.81931886,0.62134115,0.39348178,0.62134115,299.23934601,-0.35941570,0.39348178,-0.35941570,299.62580233,43.32664508,-11.40765205,26.01754307,-11.40765205,3.19888804,-7.80490704,26.01754307,-7.80490704,38.18213600
0.54998939,-0.00000667,0.30000331,-0.00107119,-0.00063536,0.00032556,299.63784216,1.24448150,0.78491588,1.24448150,298.47752012,-0.71775302,0.78491588,-0.71775302,299.25307832,43.46467369,-11.37820373,26.07150300,-11.37820373,3.15763543,-7.72448520,26.07150300,-7.72448520,37.82169638
0.54997590,-0.00001430,0.30000733,-0.00162875,-0.00088370,0.00047578,299.45555824,1.86943837,1.17426242,1.86943837,297.71451766,-1.07496981,1.17426242,-1.07496981,298.88179383,43.60460921,-11.34816084,26.12609604,-11.34816084,3.11690589,-7.64274437,26.12609604,-7.64274437,37.46073334
0.54995677,-0.00002419,0.30001280,-0.00219948,-0.00108740,0.00061776,299.27245528,2.49622900,1.56148136,2.49622900,296.95033441,-1.43102298,1.56148136,-1.43102298,298.51191209,43.74644056,-11.31751669,26.18131199,-11.31751669,3.07674968,-7.55967640,26.18131199,-7.55967640,37.09945249
0.54993187,-0.00003590,0.30001965,-0.00278228,-0.00124759,0.00075160,299.08852133,3.12487054,1.94653252,3.12487054,296.18496654,-1.78586849,1.94653252,-1.78586849,298.14339363,43.89015449,-11.28626487,26.23713962,-11.28626487,3.03721829,-7.47527362,26.23713962,-7.47527362,36.73806579
0.54990109,-0.00004900,0.30002781,-0.00337610,-0.00136533,0.00087738,298.90374431,3.75538001,2.32937558,3.75538001,295.41841073,-2.13946139,2.32937558,-2.13946139,297.77619631,44.03573560,-11.25439920,26.29356669,-11.25439920,2.99836441,-7.38952888,26.29356669,-7.38952888,36.37679143
0.54986432,-0.00006307,0.30003717,-0.00397986,-0.00144164,0.00099521,298.71811201,4.38777429,2.70997011,4.38777429,294.65066419,-2.49175578,2.70997011,-2.49175578,297.41027519,44.18316619,-11.22191380,26.35057988,-11.22191380,2.96024187,-7.30243558,26.35057988,-7.30243558,36.01585370
0.54982146,-0.00007770,0.30004768,-0.00459255,-0.00147746,0.00110518,298.53161207,5.02207011,3.08827559,5.02207011,293.88172467,-2.84270482,3.08827559,-2.84270482,297.04558256,44.33242620,-11.18880309,26.40816477,-11.18880309,2.92290563,-7.21398767,26.40816477,-7.21398767,35.65548281
0.54977244,-0.00009249,0.30005925,-0.00521315,-0.00147369,0.00120740,298.34423201,5.65828402,3.46425147,5.65828402,293.11159054,-3.19226079,3.46425147,-3.19226079,296.68206787,44.48349315,-11.15506182,26.46630583,-11.15506182,2.88641172,-7.12417968,26.46630583,-7.12417968,35.29591472
0.54971718,-0.00010705,0.30007181,-0.00584067,-0.00143117,0.00130195,298.15595922,6.29643238,3.83785710,6.29643238,292.34026082,-3.54037499,3.83785710,-3.54037499,296.31967772,44.63634201,-11.12068508,26.52498633,-11.12068508,2.85081717,-7.03300676,26.52498633,-7.03300676,34.93739096
0.54965561,-0.00012099,0.30008527,-0.00647417,-0.00135071,0.00138896,297.96678093,6.93653132,4.20905185,6.93653132,291.56773526,-3.88699788,4.20905185,-3.88699788,295.95835582,44.79094513,-11.08566835,26.58418837,-11.08566835,2.81617997,-6.94046465,26.58418837,-6.94046465,34.58015836
0.54958768,-0.00013394,0.30009956,-0.00711271,-0.00123302,0.00146852,297.77668427,7.57859678,4.57779509,7.57859678,290.79401434,-4.23207896,4.57779509,-4.23207896,295.59804298,44.94727219,-11.05000750,26.64389281,-11.05000750,2.78255904,-6.84654976,26.64389281,-6.84654976,34.22446882
0.54951334,-0.00014552,0.30011461,-0.00775542,-0.00107879,0.00154075,297.58565620,8.22264438,4.94404619,8.22264438,290.01909938,-4.57556689,4.94404619,-4.57556689,295.23867710,45.10529008,-11.01369882,26.70407924,-11.01369882,2.75001409,-6.75125912,26.70407924,-6.75125912,33.87057908
0.54943256,-0.00015539,0.30013035,-0.00840144,-0.00088867,0.00160576,297.39368357,8.86868952,5.30776462,8.86868952,289.24299254,-4.91740942,5.30776462,-4.91740942,294.88019312,45.26496281,-10.97673908,26.76472598,-10.97673908,2.71860563,-6.65459049,26.76472598,-6.65459049,33.51875036
0.54934530,-0.00016318,0.30014670,-0.00904997,-0.00066324,0.00166368,297.20075309,9.51674727,5.66890988,9.51674727,288.46569693,-5.25755348,5.66890988,-5.25755348,294.52252307,45.42625146,-10.93912547,26.82581000,-10.93912547,2.68839484,-6.55654228,26.82581000,-6.55654228,33.16924813
0.54925155,-0.00016854,0.30016360,-0.00970025,-0.00040304,0.00171463,297.00685131,10.16683237,6.02744160,10.16683237,287.68721663,-5.59594514,6.02744160,-5.59594514,294.16559603,45.58911409,-10.90085574,26.88730692,-10.90085574,2.65944352,-6.45711363,26.88730692,-6.45711363,32.82234168
0.54915129,-0.00017113,0.30018097,-0.01035155,-0.00010857,0.00175875,296.81196467,10.81895925,6.38331953,10.81895925,286.90755678,-5.93252966,6.38331953,-5.93252966,293.80933816,45.75350563,-10.86192814,26.94919100,-10.86192814,2.63181399,-6.35630441,26.94919100,-6.35630441,32.47830384
0.54904452,-0.00017060,0.30019875,-0.01100322,0.00021972,0.00179617,296.61607945,11.47314194,6.73650360,11.47314194,286.12672363,-6.26725150,6.73650360,-6.26725150,293.45367268,45.91937784,-10.82234146,27.01143505,-10.82234146,2.60556901,-6.25411523,27.01143505,-6.25411523,32.13741058
0.54893123,-0.00016662,0.30021688,-0.01165466,0.00058139,0.00182703,296.41918182,12.12939408,7.08695388,12.12939408,285.34472462,-6.60005437,7.08695388,-6.60005437,293.09851992,46.08667922,-10.78209509,27.07401047,-10.78209509,2.58077170,-6.15054747,27.07401047,-6.15054747,31.79994058
0.54881143,-0.00015886,0.30023527,-0.01230530,0.00097608,0.00185149,296.22125778,12.78772888,7.43463071,12.78772888,284.56156843,-6.93088121,7.43463071,-6.93088121,292.74379732,46.25535491,-10.74118904,27.13688718,-10.74118904,2.55748540,-6.04560326,27.13688718,-6.04560326,31.46617484
0.54868513,-0.00014699,0.30025388,-0.01295466,0.00140341,0.00186972,296.02229318,13.44815914,7.77949463,13.44815914,283.77726506,-7.25967427,7.77949463,-7.25967427,292.38941948,46.42534667,-10.69962392,27.20003361,-10.69962392,2.53577361,-5.93928555,27.20003361,-5.93928555,31.13639623
