x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.55000000,0.00000000,0.30000000,-0.00085388,0.00128109,-0.00028240,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.17377851,-1.00216611,-0.79841155,-1.00216611,13.15934970,14.22812794,-0.79841155,14.22812794,19.61939448
0.54999146,0.00001281,0.29999718,-0.00167808,0.00255047,-0.00055490,300.08069197,0.25974909,-0.20972656,0.25974909,299.89889938,0.38007266,-0.20972656,0.38007266,299.94222090,0.19681893,-1.07335361,-0.86990785,-1.07335361,12.97353411,14.17960470,-0.86990785,14.17960470,19.65223871
0.54996644,0.00005101,0.29998890,-0.00328243,0.00507270,-0.00108540,300.16194130,0.52104290,-0.41797010,0.52104290,299.79407102,0.75796005,-0.41797010,0.75796005,299.89268369,0.22231224,-1.14276916,-0.94281487,-1.14276916,12.78878606,14.12965368,-0.94281487,14.12965368,19.68608403
0.54992581,0.00011426,0.29997547,-0.00479944,0.00756310,-0.00158728,300.24375688,0.78389324,-0.62469776,0.78389324,299.68539888,1.13359416,-0.62469776,1.13359416,299.85142413,0.25036691,-1.21021429,-1.01712885,-1.21021429,12.60541042,14.07823698,-1.01712885,14.07823698,19.72094652
0.54987045,0.00020227,0.29995716,-0.00623075,0.01002403,-0.00206135,300.32614772,1.04831103,-0.82987683,1.04831103,299.57276492,1.50690611,-0.82987683,1.50690611,299.81846932,0.28109123,-1.27548474,-1.09284399,-1.27548474,12.42372378,14.02531576,-1.09284399,14.02531576,19.75684119
0.54980120,0.00031475,0.29993424,-0.00757833,0.01245756,-0.00250841,300.40912300,1.31430633,-1.03347478,1.31430633,299.45604927,1.87782616,-1.03347478,1.87782616,299.79383736,0.31459283,-1.33837081,-1.16995234,-1.33837081,12.24405401,13.97085021,-1.16995234,13.97085021,19.79378182
0.54971888,0.00045142,0.29990699,-0.00884448,0.01486548,-0.00292920,300.49269208,1.58188824,-1.23545933,1.58188824,299.33513033,2.24628384,-1.23545933,2.24628384,299.77753694,0.35097814,-1.39865779,-1.24844372,-1.39865779,12.06673984,13.91479948,-1.24844372,13.91479948,19.83178083
0.54962431,0.00061205,0.29987566,-0.01003186,0.01724918,-0.00332447,300.57686452,1.85106492,-1.43579849,1.85106492,299.20988494,2.61220796,-1.43579849,2.61220796,299.76956696,0.39035190,-1.45612646,-1.32830564,-1.45612646,11.89213029,13.85712169,-1.32830564,13.85712169,19.87084913
0.54951825,0.00079641,0.29984050,-0.01114351,0.01960970,-0.00369489,300.66165012,2.12184350,-1.63446062,2.12184350,299.08018848,2.97552668,-1.63446062,2.97552668,299.76991620,0.43281656,-1.51055359,-1.40952321,-1.51055359,11.72058406,13.79777389,-1.40952321,13.79777389,19.91099595
0.54940144,0.00100425,0.29980176,-0.01218284,0.02194767,-0.00404115,300.74705890,2.39423008,-1.83141448,2.39423008,298.94591512,3.33616761,-1.83141448,3.33616761,299.77856297,0.47847164,-1.56171253,-1.49207908,-1.56171253,11.55246884,13.73671198,-1.49207908,13.73671198,19.95222872
0.54927459,0.00123536,0.29975968,-0.01315367,0.02426330,-0.00436388,300.83310113,2.66822968,-2.02662924,2.66822968,298.80693795,3.69405785,-2.02662924,3.69405785,299.79547478,0.52741312,-1.60937387,-1.57595333,-1.60937387,11.38816053,13.67389073,-1.57595333,13.67389073,19.99455284
0.54913836,0.00148951,0.29971448,-0.01406024,0.02655635,-0.00466370,300.91978741,2.94384619,-2.22007459,2.94384619,298.66312920,4.04912412,-2.22007459,4.04912412,299.82060807,0.57973274,-1.65330609,-1.66112341,-1.65330609,11.22804234,13.60926369,-1.66112341,13.60926369,20.03797158
0.54899338,0.00176649,0.29966640,-0.01490720,0.02882611,-0.00494121,301.00712862,3.22108238,-2.41172079,3.22108238,298.51436049,4.40129279,-2.41172079,4.40129279,299.85390791,0.63551728,-1.69327638,-1.74756410,-1.69327638,11.07250388,13.54278320,-1.74756410,13.54278320,20.08248586
0.54884022,0.00206604,0.29961566,-0.01569959,0.03107142,-0.00519696,301.09513599,3.49993984,-2.60153867,3.49993984,298.36050303,4.75049004,-2.60153867,4.75049004,299.89530778,0.69484782,-1.72905138,-1.83524737,-1.72905138,10.92194012,13.47440030,-1.83524737,13.47440030,20.12809411
0.54867939,0.00238791,0.29956246,-0.01644288,0.03329066,-0.00543151,301.18382113,3.78041896,-2.78949975,3.78041896,298.20142790,5.09664190,-2.78949975,5.09664190,299.94472932,0.75779898,-1.76039808,-1.92414240,-1.76039808,10.77675023,13.40406470,-1.92414240,13.40406470,20.17479206
0.54851136,0.00273185,0.29950703,-0.01714292,0.03548174,-0.00564539,301.27319604,4.06251890,-2.97557625,4.06251890,298.03700630,5.43967439,-2.97557625,5.43967439,300.00208220,0.82443811,-1.78708471,-2.01421548,-1.78708471,10.63733645,13.33172478,-2.01421548,13.33172478,20.22257258
0.54833653,0.00309755,0.29944955,-0.01780590,0.03764213,-0.00583911,301.36327315,4.34623758,-3.15974115,4.34623758,297.86710987,5.77951363,-3.15974115,5.77951363,300.06726393,0.89482449,-1.80888170,-2.10542994,-1.80888170,10.50410277,13.25732747,-2.10542994,13.25732747,20.27142548
0.54815524,0.00348469,0.29939025,-0.01843839,0.03976891,-0.00601315,301.45406533,4.63157167,-3.34196828,4.63157167,297.69161098,6.11608594,-3.34196828,6.11608594,300.14015976,0.96900849,-1.82556271,-2.19774616,-1.82556271,10.37745361,13.18081827,-2.19774616,13.18081827,20.32133738
0.54796777,0.00389293,0.29932929,-0.01904723,0.04185876,-0.00616801,301.54558599,4.91851652,-3.52223233,4.91851652,297.51038304,6.44931797,-3.52223233,6.44931797,300.22064262,1.04703071,-1.83690564,-2.29112148,-1.83690564,10.25779239,13.10214117,-2.29112148,13.10214117,20.37229146
0.54777430,0.00432187,0.29926688,-0.01963952,0.04390801,-0.00630416,301.63784900,5.20706622,-3.70050892,5.20706622,297.32330084,6.77913683,-3.70050892,6.77913683,300.30857310,1.12892117,-1.84269375,-2.38551017,-1.84269375,10.14552004,13.02123864,-2.38551017,13.02123864,20.42426735
0.54757498,0.00477109,0.29920321,-0.02022257,0.04591271,-0.00642208,301.73086884,5.49721351,-3.87677468,5.49721351,297.13024095,7.10547022,-3.87677468,7.10547022,300.40379942,1.21469842,-1.84271675,-2.48086344,-1.84271675,10.04103351,12.93805153,-2.48086344,12.93805153,20.47724093
0.54736985,0.00524012,0.29913844,-0.02080380,0.04786870,-0.00652223,301.82466055,5.78894985,-4.05100724,5.78894985,296.93108201,7.42824655,-4.05100724,7.42824655,300.50615755,1.30436869,-1.83677199,-2.57712935,-1.83677199,9.94472412,12.85251909,-2.57712935,12.85251909,20.53118417
0.54715890,0.00572846,0.29907276,-0.02139076,0.04977162,-0.00660508,301.91923978,6.08226534,-4.22318535,6.08226534,296.72570517,7.74739510,-4.22318535,7.74739510,300.61547130,1.39792507,-1.82466560,-2.67425288,-1.82466560,9.85697598,12.76457889,-2.67425288,12.76457889,20.58606498
0.54694203,0.00623555,0.29900634,-0.02199096,0.05161701,-0.00667110,302.01462285,6.37714875,-4.39328888,6.37714875,296.51399448,8.06284618,-4.39328888,8.06284618,300.73155245,1.49534670,-1.80621368,-2.77217584,-1.80621368,9.77816430,12.67416678,-2.77217584,12.67416678,20.64184706
